DATA ,MÊS,ANO,UF,COD IBGE,MUNICIPIO,longitude,latitude,N.animais,ID. GÊNERO,CALLITHRIX,SAPAJUS,CEBUS,ALOUATTA,SAIMIRI,"OUTRO
especificar ",
S/INFORM,DEZEMBRO,2005,AM,130130,CODAJÁS,-62.063430,-3.843046,1,NÃO,,,,,,,
S/INFORM,DEZEMBRO,2002,AM,130356,RIO PRETO DA EVA,-59.704738,-2.693302,1,NÃO,,,,,,,
2017-01-14,JANEIRO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,5,SIM,5,,,,,,
2017-01-30,JANEIRO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,3,SIM,3,,,,,,
2017-02-02,FEVEREIRO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,1,SIM,1,,,,,,
2017-02-03,FEVEREIRO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,7,SIM,7,,,,,,
2017-03-11,MARÇO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,2,SIM,2,,,,,,
2017-03-13,MARÇO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,2,SIM,2,,,,,,
2017-03-14,MARÇO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,3,SIM,3,,,,,,
2017-02-16,FEVEREIRO,2017,BA,290070,Alagoinhas,-38.422616,-12.134183,1,SIM,1,,,,,,
2017-04-16,ABRIL,2017,BA,290327,Barrocas,-39.078669,-11.529113,1,SIM,1,,,,,,
2017-03-22,MARÇO,2017,BA,290360,Biritinga,-38.812159,-11.620110,1,SIM,1,,,,,,
2017-02-03,FEVEREIRO,2017,BA,290570,Camaçari,-38.325740,-12.698817,2,SIM,2,,,,,,
2017-03-16,MARÇO,2017,BA,290570,Camaçari,-38.325740,-12.698817,6,SIM,6,,,,,,
2017-04-19,ABRIL,2017,BA,290570,Camaçari,-38.325740,-12.698817,1,SIM,1,,,,,,
2017-04-06,ABRIL,2017,BA,290650,Candeias,-38.543596,-12.671923,1,SIM,1,,,,,,
2017-03-15,MARÇO,2017,BA,290750,Catu,-38.376294,-12.355187,1,NÃO,,,,,,,
2017-03-19,MARÇO,2017,BA,290900,Cordeiros,-41.935734,-15.037234,1,SIM,,,,1,,,
